timestamp,pair,action,full_signal,price,rsi_status,rsi_value,ema20_status,ema20_value,ema50_status,ema50_value,ema200_status,ema200_value,macd_status,macd_value,macd_signal_status,macd_signal_value,stoch_k_status,stoch_k_value,stoch_d_status,stoch_d_value,bb_status,bb_high_value,bb_low_value,cci_status,cci_value,adx_status,adx_value,willr_status,willr_value,atr_status,atr_value,obv_status,obv_value,buy_score,sell_score,hold_score,htf_bias,base_bias,quote_bias
2025-10-23T06:24:05.029823-04:00,AUD/CAD,BUY,"BUY (score=5, HTF=NEUTRAL)",0.91094,BUY,45.28282875280088,HOLD,0.9109992557412063,HOLD,0.9109690403021485,HOLD,0.9104316788707886,SELL,-2.3405068528492556e-05,SELL,-4.367334350609277e-06,BUY,13.636363636352167,BUY,4.5454545454507365,BUY,0.9111729795762992,0.9108180204237007,HOLD,-48.716260697813794,SELL,13.008103528630132,BUY,-86.36363636364783,HOLD,5.040444062643131e-05,HOLD,,5,4,6,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:09.125656-04:00,AUD/CHF,BUY,"BUY (score=10, HTF=NEUTRAL)",0.51948,BUY,47.41997080968551,HOLD,0.5195296669722416,HOLD,0.5194334414504573,BUY,0.5189376036801074,BUY,1.0670681991231667e-05,BUY,3.708829158785553e-05,BUY,15.000000000044409,BUY,10.000000000029615,BUY,0.5196870979501259,0.5194139020498741,BUY,-80.41060735668644,BUY,12.73786047262251,BUY,-84.99999999995559,HOLD,5.074265808967947e-05,HOLD,,10,1,4,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:12.545982-04:00,AUD/JPY,BUY,"BUY (score=5, HTF=NEUTRAL)",99.348,BUY,48.5962544832218,HOLD,99.35112057131116,HOLD,99.34515911519908,HOLD,99.26121977496973,SELL,-0.001593547174806531,BUY,0.0007074371049732778,BUY,25.641025641037785,BUY,14.529914529922655,BUY,99.37677394637403,99.32872605362594,HOLD,-31.905961377003976,HOLD,9.670099716330409,HOLD,-74.35897435896221,HOLD,0.007689119675040094,HOLD,,5,2,8,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:16.065350-04:00,AUD/USD,BUY,"BUY (score=10, HTF=NEUTRAL)",0.65117,BUY,42.267506870964986,HOLD,0.6512941773242956,HOLD,0.6512047222059756,BUY,0.6504087585254649,BUY,1.3256729443633652e-05,BUY,4.2276509681372384e-05,BUY,0.0,BUY,7.575757575756831,BUY,0.6515057035418013,0.6511922964581986,BUY,-191.85423365483157,BUY,12.184737734612705,BUY,-100.0,HOLD,5.4845003662999246e-05,HOLD,,10,1,4,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:21.862352-04:00,CAD/CHF,BUY,"BUY (score=4, HTF=NEUTRAL)",0.57026,SELL,52.95134223802184,HOLD,0.57023025685167,HOLD,0.570138979482691,HOLD,0.5699349661759449,BUY,3.5141181214393136e-05,BUY,4.903658663850182e-05,HOLD,50.0,BUY,25.75757575759714,BUY,0.57033943117639,0.5701905688236101,HOLD,-11.494252873635826,HOLD,9.433639119498768,HOLD,-50.0,HOLD,6.691714204804879e-05,HOLD,,4,2,9,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:26.512794-04:00,CHF/JPY,SELL,"SELL (score=9, HTF=NEUTRAL)",191.22701,SELL,54.00311340505372,HOLD,191.21338754837828,HOLD,191.2341498403997,HOLD,191.25381515633813,SELL,-0.0041470102526375285,SELL,-0.009335637257789237,SELL,97.79999999999723,SELL,95.29142267714097,BUY,191.23578157236503,191.184624427635,SELL,107.72682113883795,SELL,14.22293639335588,SELL,-2.200000000002779,HOLD,0.009363508223182767,HOLD,,1,9,5,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:29.603956-04:00,EUR/AUD,SELL,"SELL (score=7, HTF=NEUTRAL)",1.78079,SELL,58.383780131688084,HOLD,1.780574475589516,HOLD,1.7807347644683038,HOLD,1.7820567944306427,BUY,4.9586222341080344e-05,SELL,-3.142300120692475e-05,SELL,90.90909090910009,SELL,95.45454545455006,BUY,1.780937274626113,1.7800667253738875,SELL,99.89594172755109,BUY,19.146460628031402,SELL,-9.090909090899915,HOLD,9.460270828844574e-05,HOLD,,3,7,5,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:33.355251-04:00,EUR/CAD,SELL,"SELL (score=7, HTF=NEUTRAL)",1.62231,SELL,54.74545777541309,HOLD,1.6222267239536603,HOLD,1.6223122634279366,HOLD,1.6225600809659446,BUY,1.1376684908359636e-05,SELL,-2.8652425539717138e-05,SELL,81.818181818139,SELL,81.53743315504691,BUY,1.622413012569629,1.6218759874303708,SELL,95.60947429232262,BUY,13.451560590377872,SELL,-18.181818181861,HOLD,5.9323593602496165e-05,HOLD,,3,7,5,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:38.651829-04:00,EUR/GBP,SELL,"SELL (score=3, HTF=NEUTRAL)",0.86843,BUY,48.694734060205484,HOLD,0.8684278493522696,HOLD,0.8684787415829388,HOLD,0.8686517579338041,SELL,-2.4021262397866394e-05,SELL,-2.6856514109329993e-05,HOLD,54.16666666669365,HOLD,48.61111111113296,BUY,0.8685778404874969,0.8683021595125031,HOLD,-10.752688171994874,HOLD,11.240468894896406,HOLD,-45.83333333330635,HOLD,2.9048860670283788e-05,HOLD,,2,3,10,NEUTRAL,NEUTRAL,NEUTRAL
2025-10-23T06:24:41.859211-04:00,EUR/JPY,SELL,"SELL (score=6, HTF=NEUTRAL)",176.93401,SELL,57.46428106480802,HOLD,176.91702821852826,HOLD,176.91996823521066,HOLD,176.90152681880778,BUY,0.004641125736242202,BUY,0.00025234242515757475,SELL,93.89795918365154,SELL,92.53741496595812,BUY,176.9446822893466,176.8795257106534,SELL,108.25315404813865,BUY,12.396954777239001,SELL,-6.102040816348465,HOLD,0.009061187275894403,HOLD,,4,6,5,NEUTRAL,NEUTRAL,NEUTRAL
